"","id","description"
"2561","cmpvirus","Does R know what a computer virus is"
"2562","hlthinfo","R sought health information past year"
"2563","hlthpapr","R sought health information newspaper articles"
"2564","hlthmag1","R sought health information general interest magazines"
"2565","hlthmag2","R sought health information health magazines"
"2566","hlthdoc","R sought health information doctor or nuR'se"
"2567","hlthfrel","R sought health information friends or relatives"
"2568","hlthtv","R sought health information TV or radio"
"2569","hlthwww","R sought health information www"
"2570","polinfo","R sought political information past 2 years"
"2571","polpapr","R sought political information daily newspaper"
"2572","polmag1","R sought political info general interest magazines"
"2573","polmag2","R sought political information political magazine"
"2574","poltv","R sought political information TV or radio"
"2575","polfrel","R sought political information friends or relatives"
"2576","polcamp","R sought political information political campaign"
"2577","polwww","R sought political information www"
"2578","buyinfgn","R sought information purchase past year"
"2579","investgn","R invested money past year"
"2580","travelgn","R made travel reservations past year"
"2581","peoplegn","R tried to meet new people past year"
"2582","gamegn","R play an indoor game past year"
"2583","newjobgn","R look for new job past year"
"2584","poldisgn","R discuss political views past year"
"2585","polinfgn","R sought political information past year"
"2586","perfrmgn","R obtain information on performing arts past ye"
"2587","artgn","R obtain information on art exhibit past year"
"2588","polcangn","R look up views of political candidate for office"
"2589","numcntct","How many people in contact least once a year"
"2590","inperson","How many people seen in person"
"2591","byphone","How many people talk to on phone"
"2592","letters","How many people write letters to"
"2593","meetings","How many people seen at church or group meeting"
"2594","byemail","How many people send email"
"2595","comphome","Does R have computer at home"
"2596","usehome","Does R use computer at home"
"2597","numhome","How many computers at home"
"2598","wwwhome","Can R use www at home"
"2599","paywww","Does employer pay for www"
"2600","wwwline1","Is www through phone line"
"2601","wwwline2","Means to www"
"2602","ecomminh","Minutes per week use computer household management"
"2603","ecomhrh","Hours per week use computer household management"
"2604","perminh","Minutes per week use computer Personal interest"
"2605","perhrh","Hours per week use computer Personal interest"
"2606","wrkminh","Minutes per week use computer make money"
"2607","wrkhrh","Hours per week use computer make money"
"2608","emminh","Minutes per week use computer email"
"2609","emhrh","Hours per week use computer email"
"2610","wwwminh","Minutes per week use computer www"
"2611","wwwhrh","Hours per week use computer www"
"2612","compwork","Does R use computer at work"
"2613","jobminw","Minutes per week using work computer job"
"2614","jobhrw","Hours per week using work computer job"
"2615","incminw","Minutes per week using work computer make money"
"2616","inchrw","Hours per week using work computer make money"
"2617","ecomminw","Minutes per week using work computer hsehld mng"
"2618","ecomhrw","Hours per week using work computer hsehld mngmn"
"2619","perminw","Minutes per week using work computer Personal i"
"2620","perhrw","Hours per week using work computer Personal int"
"2621","emminw","Minutes per week using work computer email"
"2622","emhrw","Hours per week using work computer email"
"2623","wwwminw","Minutes per week using work computer www"
"2624","wwwhrw","Hours per week using work computer www"
"2625","compoth","Does R use computer not at home or work"
"2626","compschl","Does R use computer at school"
"2627","complib","Does R use computer at library"
"2628","compfri","Does R use computer at friends house"
"2629","compelse","Does R use computer somewhere else"
"2630","mostloc","Where Does R use computer most"
"2631","ecommino","Minutes per week using other computer hsehld mn"
"2632","ecomhro","Hours per week using other computer hsehld mngm"
"2633","permino","Minutes per week using other computer Personal"
"2634","perhro","Hours per week using other computer Personal in"
"2635","wrkmino","Minutes per week using other computer make money"
"2636","wrkhro","Hours per week using other computer make money"
"2637","emmino","Minutes per week using other computer email"
"2638","emhro","Hours per week using other computer email"
"2639","wwwmino","Minutes per week using other computer www"
"2640","wwwhro","Hours per week using other computer www"
"2641","emsent","How many email messages sent per day"
"2642","emsentp","How many personal email messages sent per day"
"2643","emget","How many email messages received per day"
"2644","emgetp","How many personal messages received per day"
"2645","emwrkloc","R send or receive to or from coworkers"
"2646","emwrkawy","R send or receive to or from business contacts"
"2647","emfamloc","R send or receive to or from family members at"
"2648","emfamoth","R send or receive to or from other family members"
"2649","emfri","R send or receive to or from friends"
"2650","emchurch","R send or receive to or from church members"
"2651","emgroups","R send or receive to or from group members"
"2652","numprobs","How many friends close to discuss problems"
"2653","byemprob","How many friends discuss problems via email"
"2654","intaccss","Does R have internet through cell phone or pda"
"2655","emaillnk","How often does R link in an email from friend"
"2656","jobinfo","R sought employment info past year"
"2657","jobpaper","Times R sought job information from newspaper"
"2658","jobpub","Times R sought job information from publication"
"2659","jobcowrk","Times R sought job information from co-workers"
"2660","jobcntct","Times R sought job information from contact outside"
"2661","jobfrnds","Times R sought job information from friends"
"2662","jobplace","Times R sought job information from counseling service"
"2663","jobtvrad","Times R sought job information from radio or TV"
"2664","jobonwww","Times R sought job information from internet"
"2665","emailyr","When R first began using email"
"2666","webyr","When R first began using web"
"2667","webable","R's ability to use internet"
"2668","votefor","Web make R decide to vote for a political candidate"
"2669","manbook","R consulted manual for help with web"
"2670","cussup","R called software company"
"2671","tecsup","Called tech support at work"
"2672","askwksch","R figured out problems with web on own"
"2673","askelse","R asked someone else for help"
"2674","payelse","R has paid for help"
"2675","doself","R figured out problems with web on own"
"2676","processr","R knows what a processor is"
"2677","browser1","R knows what an internet web browser is"
"2678","browser2","Can R give the name of a web browser"
"2679","browser3","R specify name of web browser"
"2680","advsrch","How familiar R is with term advanced search"
"2681","mp3","How familiar R is with term mp3"
"2682","ezines","How familiar R is with term e-zines"
"2683","prefsets","How familiar R is with term preference settings"
"2684","newsgrps","How familiar R is with term newsgroups"
"2685","privpray","How often pray privately"
"2686","meditate","How often meditate"
"2687","conghlp1","How much congregation help out with ill"
"2688","conghlp2","How much congregation help out with prob"
"2689","conghrm1","How often congregation make too much demand"
"2690","conghrm2","How often congregation critical of things R do"
"2691","cope1","Think about life is part of larger force"
"2692","cope2","Work together with god as partner's"
"2693","cope3","Look to god for strength & support"
"2694","cope4","Feel god is punishing for sin"
"2695","cope5","Wonder whether god has abandoned me"
"2696","cope6","Try to make sense without relying on god"
"2697","godwatch","Believe in god who watch over me"
"2698","lesspain","Feel deep sense of resp for reducing pain"
"2699","rellife","Try to carry beliefs into other dealings"
"2700","forgive1","Have forgiven self for mistakes"
"2701","forgive2","Have forgiven those who hurt me"
"2702","forgive3","Know that god forgives me"
"2703","feelgod","Feel gods presence"
"2704","relcmfrt","Find strength and comfort in religion"
"2705","harmony","Feel deep inner peace or harmony"
"2706","uniongod","Desire to be closer to god"
"2707","godlove","Feel gods love directly or thru others"
"2708","beausprt","Spiritually touched by beauty creation"
"2709","nocheer","In past 30 days feel sad"
"2710","nervous","In past 30 days feel nervous"
"2711","fidgety","In past 30 days feel restless or fidgety"
"2712","hopeless","In past 30 days feel hopeless"
"2713","effort","In past 30 days feel everything thing effort"
"2714","wrthless","In past 30 days feel worthless"
"2715","relpersn","R consider self a religious person"
"2716","sprtprsn","R consider self a spiritual person"
"2717","relexp","Have religious experience changed life"
"2718","natarts","Spending right amount on arts"
"2719","artgod","Thru art and music we come closer to god"
